"ecosystem_type","name2","realm","metric","value"
"Soft Bottom","KIPAHULU","Marine","area_km2_2013",2.4
"Soft Bottom","KIPAHULU","Marine","area_km2_2016",2.4
"Soft Bottom","KIPAHULU","Marine","area_km2_2019",2.4
"Soft Bottom","KIPAHULU","Marine","change_km2_2013_2016",0
"Soft Bottom","KIPAHULU","Marine","change_km2_2013_2019",0
"Soft Bottom","KIPAHULU","Marine","change_km2_2016_2019",0
"Soft Bottom","KIPAHULU","Marine","dir_2013_2016",0
"Soft Bottom","KIPAHULU","Marine","dir_2013_2019",0
"Soft Bottom","KIPAHULU","Marine","dir_2016_2019",0
"Soft Bottom","KIPAHULU","Marine","pct_change_2013_2016",0
"Soft Bottom","KIPAHULU","Marine","pct_change_2013_2019",0
"Soft Bottom","KIPAHULU","Marine","pct_change_2016_2019",0
"Soft Bottom","KOHALA","Marine","area_km2_2013",5.76
"Soft Bottom","KOHALA","Marine","area_km2_2016",5.76
"Soft Bottom","KOHALA","Marine","area_km2_2019",5.76
"Soft Bottom","KOHALA","Marine","change_km2_2013_2016",0
"Soft Bottom","KOHALA","Marine","change_km2_2013_2019",0
"Soft Bottom","KOHALA","Marine","change_km2_2016_2019",0
"Soft Bottom","KOHALA","Marine","dir_2013_2016",0
"Soft Bottom","KOHALA","Marine","dir_2013_2019",0
"Soft Bottom","KOHALA","Marine","dir_2016_2019",0
"Soft Bottom","KOHALA","Marine","pct_change_2013_2016",0
"Soft Bottom","KOHALA","Marine","pct_change_2013_2019",0
"Soft Bottom","KOHALA","Marine","pct_change_2016_2019",0
"Soft Bottom","KONA HAW","Marine","area_km2_2013",5.65
"Soft Bottom","KONA HAW","Marine","area_km2_2016",5.65
"Soft Bottom","KONA HAW","Marine","area_km2_2019",5.65
"Soft Bottom","KONA HAW","Marine","change_km2_2013_2016",0
"Soft Bottom","KONA HAW","Marine","change_km2_2013_2019",0
"Soft Bottom","KONA HAW","Marine","change_km2_2016_2019",0
"Soft Bottom","KONA HAW","Marine","dir_2013_2016",0
"Soft Bottom","KONA HAW","Marine","dir_2013_2019",0
"Soft Bottom","KONA HAW","Marine","dir_2016_2019",0
"Soft Bottom","KONA HAW","Marine","pct_change_2013_2016",0
"Soft Bottom","KONA HAW","Marine","pct_change_2013_2019",0
"Soft Bottom","KONA HAW","Marine","pct_change_2016_2019",0
"Soft Bottom","KONA KAH","Marine","area_km2_2013",3.24
"Soft Bottom","KONA KAH","Marine","area_km2_2016",3.24
"Soft Bottom","KONA KAH","Marine","area_km2_2019",3.24
"Soft Bottom","KONA KAH","Marine","change_km2_2013_2016",0
"Soft Bottom","KONA KAH","Marine","change_km2_2013_2019",0
"Soft Bottom","KONA KAH","Marine","change_km2_2016_2019",0
"Soft Bottom","KONA KAH","Marine","dir_2013_2016",0
"Soft Bottom","KONA KAH","Marine","dir_2013_2019",0
"Soft Bottom","KONA KAH","Marine","dir_2016_2019",0
"Soft Bottom","KONA KAH","Marine","pct_change_2013_2016",0
"Soft Bottom","KONA KAH","Marine","pct_change_2013_2019",0
"Soft Bottom","KONA KAH","Marine","pct_change_2016_2019",0
"Soft Bottom","KONA KAU","Marine","area_km2_2013",13.44
"Soft Bottom","KONA KAU","Marine","area_km2_2016",13.44
"Soft Bottom","KONA KAU","Marine","area_km2_2019",13.44
"Soft Bottom","KONA KAU","Marine","change_km2_2013_2016",0
